image_filename;description
alho1.png;Alho. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Rico em alicina, possui potente ação antimicrobiana contra bactérias, vírus e fungos.
alho2.png;Alho. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Ajuda a reduzir a pressão arterial por promover relaxamento dos vasos sanguíneos.
alho3.png;Alho. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Contribui para redução do colesterol LDL e melhora do perfil lipídico.
alho4.png;Alho. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui forte ação antioxidante, combatendo radicais livres.
alho5.png;Alho. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Estimula o sistema imunológico, aumentando a resistência a infecções.
alho6.png;Alho. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Atua como anti-inflamatório natural, ajudando em processos inflamatórios crônicos.
Cuphea_carthagenensis1.png;Cupheacarthagenensis. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui ação vasodilatadora suave, auxiliando na regulação da pressão arterial.
Cuphea_carthagenensis2.png;Cupheacarthagenensis. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Atua como diurético natural, ajudando na eliminação de líquidos.
Cuphea_carthagenensis3.png;Cupheacarthagenensis. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Contribui para eliminação de toxinas do sangue e fígado.
Cuphea_carthagenensis4.png;Cupheacarthagenensis. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Ajuda a regular a circulação sanguínea.
Cuphea_carthagenensis5.png;Cupheacarthagenensis. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui propriedades anti-inflamatórias e antioxidantes.
Cuphea_carthagenensis6.png;Cupheacarthagenensis. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Auxilia no controle da arritmia e palpitações cardíacas.
Cuphea_carthagenensis7.png;Cupheacarthagenensis. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Facilita a eliminação do ácido úrico, podendo ajudar em casos de gota.
hibisco1.png;Hibisco. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui forte efeito diurético, ajudando a reduzir retenção de líquidos.
hibisco2.png;Hibisco. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Rico em antocianinas, potentes antioxidantes que combatem radicais livres.
hibisco3.png;Hibisco. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Auxilia na redução da pressão arterial em casos leves a moderados.
hibisco4.png;Hibisco. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Contribui para redução do colesterol LDL.
hibisco5.png;Hibisco. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Ajuda a regular o metabolismo de gorduras.
hibisco6.png;Hibisco. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Possui ação hepatoprotetora, protegendo o fígado.
hibisco7.png;Hibisco. Plantas Cardiovasculares, atuam principalmente no coração, pressão e circulação.Atua como anti-inflamatório natural.
gengibre_1.png;Gengibre. Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Contém gingerol e shogaol, compostos bioativos com forte ação anti-inflamatória.
gengibre_2.png;Gengibre. Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Ajuda a reduzir náuseas e enjoo, inclusive em gravidez e viagens.
gengibre_3.png;Gengibre. Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Possui potente ação antioxidante, protegendo células do estresse oxidativo.
gengibre_4.png;Gengibre. Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Estimula a digestão e produção de enzimas digestivas.
gengibre_5.png;Gengibre. Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Ajuda a reduzir dores musculares e articulares.
gengibre_6.png;Gengibre. Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Contribui para fortalecer o sistema imunológico.
gengibre_7.png;Gengibre. Plantas Anti-inflamatórias e Analgésicas, atuam em dor, inflamação e processos inflamatórios.Pode auxiliar no controle da glicemia.
carqueja_1.png;Carqueja. Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Estimulam a produção de bile, facilitando digestão de gorduras.
carqueja_2.png;Carqueja. Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Reduzem má digestão e sensação de estômago pesado.
carqueja_3.png;Carqueja. Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Ajudam no controle de gases e distensão abdominal.
carqueja_4.png;Carqueja. Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Podem aliviar espasmos intestinais.
carqueja_5.png;Carqueja. Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Contribuem para proteção do fígado.
carqueja_6.png;Carqueja. Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Estimulam o apetite em casos de inapetência.
carqueja_7.png;Carqueja. Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Auxiliam na regulação do trânsito intestinal.
camomila_1.png;Camomila. Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Promovem relaxamento do sistema nervoso central.
camomila_2.png;Camomila. Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Ajudam a reduzir ansiedade e estresse.
camomila_3.png;Camomila. Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Facilitam indução do sono natural.
camomila_4.png;Camomila. Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Podem aliviar tensão emocional e irritabilidade.
camomila_5.png;Camomila. Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Contribuem para melhor qualidade do sono.
camomila_6.png;Camomila. Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Reduzem espasmos nervosos e tremores leves.
camomila_7.png;Camomila. Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Auxiliam no equilíbrio do humor.




